"user_id","game_name","payment_month","total_revenue","age","language","previous_paid_month","next_paid_month","next_calendar_month","prev_calendar_month","previous_revenue","future_revenue","new_mrr","new_paid_users","paid_users","expansion_mrr","contraction_mrr","churned_revenue","churned_users","churn_month"
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-09-01 00:00:00.000 +0300,60.06,14,uk,2022-07-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,75.36,26.22,0,0,1,0,0,0,0,
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-10-01 00:00:00.000 +0300,26.22,14,uk,2022-09-01 00:00:00.000 +0300,,2022-11-01,2022-09-01,60.06,,0,0,1,0,33.84,26.22,1,2022-11-01
geIiJ1L04w2qAE0qzQUb2g==,game 3,2022-06-01 00:00:00.000 +0300,51.24,23,uk,,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,,107.07,51.24,1,1,0,0,0,0,
geIiJ1L04w2qAE0qzQUb2g==,game 3,2022-07-01 00:00:00.000 +0300,107.07,23,uk,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,51.24,30.18,0,0,1,55.83,0,0,0,
geIiJ1L04w2qAE0qzQUb2g==,game 3,2022-08-01 00:00:00.000 +0300,30.18,23,uk,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,107.07,22.92,0,0,1,0,76.89,0,0,
geIiJ1L04w2qAE0qzQUb2g==,game 3,2022-09-01 00:00:00.000 +0300,22.92,23,uk,2022-08-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,30.18,37.17,0,0,1,0,7.26,0,0,
geIiJ1L04w2qAE0qzQUb2g==,game 3,2022-10-01 00:00:00.000 +0300,37.17,23,uk,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,22.92,21.54,0,0,1,14.25,0,0,0,
geIiJ1L04w2qAE0qzQUb2g==,game 3,2022-11-01 00:00:00.000 +0200,21.54,23,uk,2022-10-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,37.17,,0,0,1,0,15.63,21.54,1,2022-12-01
GeLWEsTiQ25xFxDGxLyEJg==,game 3,2022-12-01 00:00:00.000 +0200,16.5,26,uk,,,2023-01-01,2022-11-01,,,16.5,1,1,0,0,16.5,1,2023-01-01
GetHmCsisRTAnwhuBEMa9Q==,game 3,2022-11-01 00:00:00.000 +0200,119.55,16,ru,,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,,160.38,119.55,1,1,0,0,0,0,
GetHmCsisRTAnwhuBEMa9Q==,game 3,2022-12-01 00:00:00.000 +0200,160.38,16,ru,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,119.55,,0,0,1,40.83,0,160.38,1,2023-01-01
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-03-01 00:00:00.000 +0200,17.13,16,uk,,2022-04-01 00:00:00.000 +0300,2022-04-01,2022-02-01,,128.40,17.13,1,1,0,0,0,0,
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-04-01 00:00:00.000 +0300,128.40,16,uk,2022-03-01 00:00:00.000 +0200,2022-05-01 00:00:00.000 +0300,2022-05-01,2022-03-01,17.13,67.29,0,0,1,111.27,0,0,0,
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-05-01 00:00:00.000 +0300,67.29,16,uk,2022-04-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-06-01,2022-04-01,128.40,82.80,0,0,1,0,61.11,0,0,
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-06-01 00:00:00.000 +0300,82.80,16,uk,2022-05-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,67.29,45.96,0,0,1,15.51,0,0,0,
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-07-01 00:00:00.000 +0300,45.96,16,uk,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,82.80,77.82,0,0,1,0,36.84,0,0,
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-08-01 00:00:00.000 +0300,77.82,16,uk,2022-07-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-09-01,2022-07-01,45.96,152.43,0,0,1,31.86,0,77.82,1,2022-09-01
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-10-01 00:00:00.000 +0300,152.43,16,uk,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,77.82,76.14,0,0,1,0,0,0,0,
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-11-01 00:00:00.000 +0200,76.14,16,uk,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,152.43,48.75,0,0,1,0,76.29,0,0,
